2021-05-31/04:55:46		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:49		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:50		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:50		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:50		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:50		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:50		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:50		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:50		 wafer_13012020_090817.csv: File loaded successfully!!
2021-05-31/04:55:50		 wafer_13012020_090817.csv: File loaded successfully!!
